epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20164.5,0.60863,0.49749,1.61069,0.65943,0.66839,0.68554,0.50708,0.99915,1.26978,2.10392,0.000990365,0.000990365,0.000990365
43,20618,0.62509,0.49627,1.62783,0.7454,0.65535,0.72713,0.54181,1.00041,1.16392,2.15723,0.000973861,0.000973861,0.000973861
44,21069.2,0.60907,0.47937,1.62814,0.73162,0.65911,0.71737,0.53103,0.97025,1.17271,2.11021,0.000957358,0.000957358,0.000957358
45,21520.1,0.60573,0.47286,1.58398,0.70194,0.65981,0.70262,0.52862,0.97664,1.22354,2.17437,0.000940855,0.000940855,0.000940855
46,21973.9,0.58815,0.47338,1.61626,0.78287,0.59612,0.72477,0.53715,0.97167,1.18446,2.14395,0.000924352,0.000924352,0.000924352
47,22423.6,0.58391,0.45817,1.59385,0.6673,0.68531,0.70852,0.51526,0.96989,1.16152,2.22688,0.000907848,0.000907848,0.000907848
48,22885.6,0.57826,0.46076,1.61308,0.64701,0.70889,0.71949,0.5403,0.95789,1.21769,2.10631,0.000891345,0.000891345,0.000891345
49,23339.7,0.56726,0.4548,1.60593,0.75136,0.66549,0.73479,0.54545,0.96148,1.10862,2.13726,0.000874842,0.000874842,0.000874842
50,23795.7,0.57354,0.45939,1.61952,0.71767,0.62808,0.70888,0.5216,0.97471,1.30786,2.15863,0.000858338,0.000858338,0.000858338
51,24248.2,0.57908,0.46005,1.63594,0.68872,0.73431,0.76233,0.57073,0.96785,1.17854,2.09828,0.000841835,0.000841835,0.000841835
52,24702.3,0.57535,0.4553,1.6079,0.70931,0.67122,0.74195,0.54731,0.97873,1.1333,2.1394,0.000825332,0.000825332,0.000825332
53,25155,0.56745,0.45095,1.6185,0.72811,0.70914,0.74677,0.54218,0.97834,1.06249,2.16007,0.000808828,0.000808828,0.000808828
54,25610,0.55248,0.43373,1.59504,0.68207,0.72193,0.72949,0.54081,0.97251,1.14907,2.10838,0.000792325,0.000792325,0.000792325
55,26060.6,0.54443,0.43042,1.6065,0.73115,0.67536,0.73606,0.54704,0.98306,1.06729,2.20233,0.000775822,0.000775822,0.000775822
56,26512.1,0.5511,0.43541,1.58852,0.76874,0.65599,0.74702,0.55268,0.96219,1.08533,2.15797,0.000759318,0.000759318,0.000759318
57,26962.4,0.55139,0.42836,1.64084,0.74371,0.69467,0.7571,0.5649,0.97351,1.13704,2.14964,0.000742815,0.000742815,0.000742815
58,27416.6,0.55172,0.42402,1.59175,0.71592,0.69107,0.74475,0.55482,0.95798,1.12641,2.12386,0.000726312,0.000726312,0.000726312
59,27865.7,0.54328,0.41654,1.59968,0.72164,0.72842,0.76327,0.56039,0.98712,1.15251,2.11917,0.000709809,0.000709809,0.000709809
60,28315.4,0.55811,0.43357,1.63974,0.71479,0.75599,0.76083,0.55845,0.97807,1.05704,2.16805,0.000693305,0.000693305,0.000693305
61,28764.4,0.55731,0.44309,1.58679,0.70333,0.718,0.71456,0.53749,0.95341,1.19812,2.15567,0.000676802,0.000676802,0.000676802
62,29220.2,0.52836,0.41637,1.58232,0.82386,0.61907,0.74198,0.5502,0.9769,1.1813,2.12916,0.000660299,0.000660299,0.000660299
63,29668,0.51361,0.41324,1.56656,0.71694,0.71069,0.7623,0.56523,0.95645,1.10784,2.14285,0.000643795,0.000643795,0.000643795
64,30139.5,0.53074,0.41877,1.55365,0.69858,0.6819,0.7256,0.54175,0.93764,1.13253,2.13518,0.000627292,0.000627292,0.000627292
65,30596.2,0.52373,0.4043,1.60196,0.66624,0.69824,0.71531,0.53357,0.974,1.27721,2.12071,0.000610789,0.000610789,0.000610789
66,31050.8,0.50808,0.39699,1.57629,0.69764,0.71011,0.74107,0.55649,0.96194,1.20975,2.14932,0.000594286,0.000594286,0.000594286
67,31499,0.52685,0.40763,1.56077,0.72748,0.72199,0.75856,0.56487,0.94823,1.08912,2.14647,0.000577782,0.000577782,0.000577782
68,31952.4,0.52584,0.41191,1.60762,0.68807,0.68808,0.70744,0.52542,0.9788,1.25761,2.17345,0.000561279,0.000561279,0.000561279
69,32403.1,0.50831,0.39922,1.57492,0.71131,0.70549,0.73615,0.55096,0.94082,1.16494,2.17507,0.000544776,0.000544776,0.000544776
70,32855.6,0.50467,0.40006,1.57138,0.74647,0.72368,0.7609,0.56767,0.95241,1.06856,2.14039,0.000528272,0.000528272,0.000528272
71,33305,0.4933,0.37651,1.56399,0.70664,0.74802,0.76399,0.57281,0.95382,1.10096,2.18675,0.000511769,0.000511769,0.000511769
72,33779.4,0.50888,0.38706,1.56485,0.79709,0.6906,0.76044,0.57424,0.95293,1.13949,2.1516,0.000495266,0.000495266,0.000495266
